player,market_value,games_played,minutes_played,total_passes,pass_accuracy,goals,assists,tackles,form_trend,sentiment_positive,sentiment_negative,sentiment_compound,season
Daniele Verde,,13,94.8,2,0.0,0,0,0,0.0,,,,
David Zurutuza Veillet,,125,72.96666666666667,29,93.10344827586206,0,0,5,46.55172413793103,,,,
Denis Cheryshev,,163,91.98333333333332,36,52.77777777777778,0,0,4,26.388888888888893,,,,
Douglas Luiz Soares de Paulo,,41,90.98333333333332,9,88.88888888888889,0,0,1,44.44444444444444,,,,
Duje ÄŒop,,40,93.98333333333332,7,100.0,0,0,1,50.0,,,,
Enes Ãœnal,,116,69.98333333333333,21,61.90476190476191,0,0,6,30.952380952380956,,,,
Ezequiel Marcelo Garay,,73,89.98333333333333,24,70.83333333333334,1,0,1,35.45952380952381,,,,
Fernando Calero Villa,,112,94.95,41,85.36585365853658,0,0,1,42.68292682926829,,,,
Fernando Pacheco Flores,,68,91.98333333333332,26,61.53846153846154,0,0,0,30.76923076923077,,,,
Francesc Aday BenÃ­tez Caraballo,,146,92.96666666666668,44,81.81818181818183,0,1,1,40.97575757575758,,,,
Francis Joseph Coquelin,,24,87.98333333333333,8,87.5,0,0,0,43.75,,,,
Francisco JosÃ© Olivas Alba,,90,88.98333333333333,26,88.46153846153845,0,0,4,44.230769230769226,,,,
Franco DamiÃ¡n VÃ¡zquez,,140,68.98333333333333,31,83.87096774193549,0,0,5,41.935483870967744,,,,
Gabriel Armando de Abreu,,77,86.96666666666667,21,95.23809523809524,0,0,3,47.61904761904761,,,,
Gabriel IvÃ¡n Mercado,,35,91.9,11,81.81818181818183,0,0,2,40.909090909090914,,,,
Geoffrey Kondogbia,,124,78.98333333333333,33,81.81818181818183,0,0,1,40.909090909090914,,,,
Gerard Gumbau Garriga,,18,92.93333333333334,1,100.0,0,0,0,50.0,,,,
Gerard PiquÃ© BernabÃ©u,,1904,94.98333333333332,672,94.19642857142856,1,0,20,47.14107142857143,,,,
GerÃ³nimo Rulli,,103,91.98333333333332,39,51.28205128205128,0,0,0,25.64102564102564,,,,
Giovani Lo Celso,,166,86.96666666666667,42,76.19047619047619,1,0,2,38.13809523809524,,,,
GonÃ§alo Manuel Ganchinho Guedes,,18,11.85,4,50.0,0,0,0,25.0,,,,
Guilherme Antonio Arana Lopes,,147,91.98333333333332,49,89.79591836734694,0,0,2,44.89795918367347,,,,
Guillermo Alfonso MaripÃ¡n Loaysa,,64,91.98333333333332,16,75.0,0,0,1,37.5,,,,
HÃ©ctor Alfredo Moreno Herrera,,104,91.98333333333332,36,80.55555555555556,0,0,0,40.27777777777778,,,,
HÃ©ctor Junior Firpo Adames,,124,94.98333333333332,37,86.48648648648648,1,1,2,43.35276705276705,,,,
Ibai GÃ³mez PÃ©rez,,110,90.98333333333332,34,73.52941176470588,0,0,4,36.76470588235294,,,,
Igor Zubeldia Elorza,,137,92.98333333333332,42,83.33333333333334,0,0,2,41.66666666666667,,,,
Ivan RakitiÄ‡,,2130,94.98333333333332,691,92.90882778581766,1,0,21,46.497271035765976,,,,
IvÃ¡n CuÃ©llar SacristÃ¡n,,58,86.98333333333333,27,59.25925925925925,0,0,0,29.629629629629623,,,,
Javier Moyano Lujano,,74,89.98333333333333,22,90.9090909090909,0,0,2,45.45454545454545,,,,
JesÃºs Navas GonzÃ¡lez,,179,92.98333333333332,52,71.15384615384616,0,0,0,35.57692307692308,,,,
JoaquÃ­n SÃ¡nchez RodrÃ­guez,,98,61.98333333333333,26,92.3076923076923,1,0,2,46.1967032967033,,,,
Jon Bautista Orgilles,,17,92.66666666666669,2,50.0,0,0,2,25.0,,,,
Jonathan Cristian Silva,,120,91.98333333333332,35,74.28571428571429,0,1,0,37.20952380952381,,,,
Jonathan RodrÃ­guez MenÃ©ndez,,92,67.96666666666667,11,63.63636363636363,0,0,4,31.818181818181817,,,,
Jordi Alba Ramos,,1773,93.98333333333332,612,87.74509803921569,0,0,16,43.87254901960785,,,,
Jordi Masip LÃ³pez,,78,89.98333333333333,36,55.55555555555556,0,0,0,27.77777777777778,,,,
Jorge Franco Alviz,,44,90.98333333333332,12,83.33333333333334,0,0,1,41.66666666666667,,,,
Joseba ZaldÃºa Bengoetxea,,108,92.98333333333332,38,84.21052631578947,0,0,1,42.10526315789473,,,,
JosÃ© AndrÃ©s Guardado HernÃ¡ndez,,153,94.98333333333332,48,91.66666666666666,0,0,4,45.83333333333333,,,,
JosÃ© Ignacio MartÃ­nez GarcÃ­a,,176,93.98333333333332,55,74.54545454545455,0,0,7,37.27272727272727,,,,
JosÃ© Luis GayÃ  PeÃ±a,,125,89.98333333333333,41,75.60975609756098,0,0,1,37.80487804878049,,,,
Juan Francisco Moreno Fuertes,,108,92.98333333333332,30,90.0,0,0,1,45.0,,,,
Juan Miguel JimÃ©nez LÃ³pez,,98,88.98333333333333,19,78.94736842105263,0,0,3,39.47368421052632,,,,
Juan Pedro RamÃ­rez LÃ³pez,,119,90.98333333333332,36,83.33333333333334,0,0,4,41.66666666666667,,,,
Kevin Gameiro,,84,66.96666666666667,19,73.68421052631578,0,0,2,36.84210526315789,,,,
Laureano Antonio Villa SuÃ¡rez,,125,86.98333333333333,24,83.33333333333334,0,0,2,41.66666666666667,,,,
Lionel AndrÃ©s Messi Cuccittini,,1928,94.98333333333332,525,81.52380952380952,7,2,6,41.19523809523809,,,,
Lorenzo JesÃºs MorÃ³n GarcÃ­a,,122,75.98333333333333,18,77.77777777777779,0,0,4,38.88888888888889,,,,
Luca Sangalli Fuentes,,19,91.91666666666669,5,80.0,0,0,0,40.0,,,,
Luis Alberto SuÃ¡rez DÃ­az,,1010,94.98333333333332,229,75.54585152838428,2,3,6,38.05864004990642,,,,
Luis Fernando Muriel Fruto,,28,92.95,2,50.0,1,0,1,25.04285714285714,,,,
Malcom Filipe Silva de Oliveira,,104,94.98333333333332,21,76.19047619047619,0,0,7,38.095238095238095,,,,
Manuel Alejandro GarcÃ­a SÃ¡nchez,,103,90.98333333333332,21,85.71428571428571,0,0,5,42.85714285714285,,,,
Marc Bartra Aregall,,119,90.98333333333332,31,80.64516129032258,0,0,7,40.32258064516129,,,,
Marc Muniesa MartÃ­nez,,152,91.98333333333332,44,88.63636363636364,0,0,0,44.31818181818182,,,,
Marc-AndrÃ© ter Stegen,,631,93.98333333333332,235,89.36170212765957,0,0,0,44.680851063829785,,,,
MartÃ­n Aguirregabiria Padilla,,69,89.95,20,50.0,0,0,2,25.0,,,,
Michy Batshuayi Tunga,,127,88.96666666666667,26,80.76923076923077,0,0,3,40.38461538461539,,,,
Mikel Merino ZazÃ³n,,32,92.96666666666668,6,83.33333333333334,0,0,2,41.66666666666667,,,,
Mikel Oyarzabal Ugarte,,117,91.96666666666668,22,77.27272727272727,0,0,5,38.63636363636363,,,,
Mikel Vesga Arruti,,114,81.98333333333333,19,94.73684210526316,0,0,3,47.368421052631575,,,,
Mubarak Wakaso,,97,89.98333333333333,22,72.72727272727273,0,0,5,36.36363636363637,,,,
Munir El Haddadi Mohamed,,150,94.98333333333332,40,87.5,0,1,0,43.81666666666667,,,,
Nabil El Zhar,,97,84.96666666666667,14,78.57142857142857,1,0,1,39.32857142857143,,,,
Norberto Murara Neto,,51,89.96666666666667,25,64.0,0,0,0,32.0,,,,
NÃ©lson Cabral Semedo,,968,92.98333333333332,307,94.13680781758956,0,0,9,47.06840390879479,,,,
Ousmane DembÃ©lÃ©,,989,92.98333333333332,250,78.8,2,0,6,39.48571428571429,,,,
Pablo Sarabia GarcÃ­a,,177,92.98333333333332,38,84.21052631578947,0,0,4,42.10526315789473,,,,
Pau LÃ³pez Sabata,,97,93.98333333333332,40,80.0,0,0,0,40.0,,,,
Pedro AlcalÃ¡ Guirado,,89,92.98333333333332,26,84.61538461538461,0,0,3,42.30769230769231,,,,
Pere Pons Riera,,153,93.98333333333332,42,88.09523809523809,0,0,2,44.04761904761904,,,,
Philippe Coutinho Correia,,1364,93.98333333333332,393,88.80407124681933,3,0,8,44.53060705198109,,,,
Rafael AlcÃ¢ntara do Nascimento,,182,91.98333333333332,54,92.5925925925926,0,0,2,46.2962962962963,,,,
RaÃºl GarcÃ­a Carnero,,78,92.98333333333332,23,69.56521739130434,0,0,3,34.78260869565217,,,,
Rodrigo Moreno Machado,,34,90.95,6,66.66666666666666,0,0,2,33.33333333333333,,,,
Rodrigo TarÃ­n HigÃ³n,,61,87.98333333333333,20,80.0,0,0,2,40.0,,,,
Roque Mesa Quevedo,,46,92.98333333333332,10,90.0,0,0,1,45.0,,,,
RubÃ©n Alcaraz JimÃ©nez,,187,94.98333333333332,46,80.43478260869566,0,0,5,40.21739130434783,,,,
RubÃ©n Duarte SÃ¡nchez,,87,91.98333333333332,25,84.0,0,0,2,42.0,,,,
RubÃ©n Pardo GutiÃ©rrez,,146,81.93333333333334,35,85.71428571428571,0,0,7,42.85714285714285,,,,
RubÃ©n Salvador PÃ©rez Del MÃ¡rmol,,120,92.98333333333332,32,78.125,0,0,3,39.0625,,,,
RubÃ©n Sobrino Pozuelo,,86,70.96666666666667,19,89.47368421052632,0,0,3,44.73684210526316,,,,
Sabin Merino Zuloaga,,12,93.78333333333332,1,0.0,0,0,1,0.0,,,,
Samuel Yves Umtiti,,933,92.98333333333332,323,94.73684210526316,0,1,9,47.435087719298245,,,,
Sergi GÃ³mez SolÃ ,,127,92.98333333333332,43,93.02325581395348,0,0,7,46.511627906976734,,,,
Sergi Roberto Carnicer,,1297,94.98333333333332,418,90.19138755980862,0,1,12,45.16236044657097,,,,
Sergio Busquets i Burgos,,1948,93.98333333333332,622,90.35369774919614,0,0,30,45.17684887459807,,,,
Sergio Canales Madrazo,,63,94.96666666666668,18,83.33333333333334,1,0,0,41.709523809523816,,,,
Sergio GontÃ¡n Gallardo,,53,91.9,7,57.14285714285714,0,0,3,28.57142857142857,,,,
Sergio LeÃ³n Limones,,27,94.88333333333334,7,85.71428571428571,0,0,1,42.85714285714285,,,,
Seydou Doumbia,,9,89.83333333333333,0,0.0,0,0,1,0.0,,,,
Sidnei Rechel da Silva JÃºnior,,118,94.98333333333332,35,94.28571428571428,0,0,4,47.14285714285714,,,,
Simon Thorup KjÃ¦r,,74,53.96666666666667,23,91.30434782608695,0,0,1,45.65217391304348,,,,
Takashi Inui,,7,94.66666666666669,1,0.0,0,0,0,0.0,,,,
Theo Bernard FranÃ§ois HernÃ¡ndez,,129,91.98333333333332,39,82.05128205128204,0,0,2,41.02564102564102,,,,
Thomas Vermaelen,,357,91.98333333333332,121,95.86776859504133,0,0,3,47.93388429752066,,,,
TomÃ¡Å¡ VaclÃ­k,,90,92.98333333333332,32,75.0,0,0,0,37.5,,,,
Unai Bustinza MartÃ­nez,,69,90.98333333333332,19,78.94736842105263,0,0,3,39.47368421052632,,,,
VÃ­ctor Laguardia Cisneros,,40,89.96666666666667,11,63.63636363636363,0,0,2,31.818181818181817,,,,
William Silva de Carvalho,,157,94.98333333333332,51,88.23529411764706,0,1,1,44.1843137254902,,,,
Wissam Ben Yedder,,141,92.98333333333332,29,79.3103448275862,0,1,2,39.721839080459766,,,,
Yassine Bounou,,70,92.96666666666668,27,70.37037037037037,0,0,0,35.18518518518518,,,,
Youssef En-Nesyri,,172,91.98333333333332,18,77.77777777777779,0,0,6,38.88888888888889,,,,
Ã“scar Plano PedreÃ±o,,126,91.98333333333332,35,82.85714285714286,0,0,1,41.42857142857143,,,,
Ã“scar RodrÃ­guez Arnaiz,,149,73.98333333333333,26,61.53846153846154,1,0,3,30.812087912087915,,,,
Ã‰ver Maximiliano David Banega,,249,91.98333333333332,83,86.74698795180723,0,0,1,43.373493975903614,,,,
